,Season,Tm,Pos,G,MP,PTS,ORB,DRB,TRB,AST,STL,BLK,TOV,FG%,3P%,eFG%,FT%,Name,VotingShare,Rank
76,2016,SAS,SF,72.0,33.1,21.2,1.3,5.5,6.8,2.6,1.8,1.0,1.5,0.506,0.0,0.565,0.8740000000000001,Kawhi Leonard,0.484,2
77,2016,CLE,SF,76.0,35.6,25.3,1.5,6.0,7.4,6.8,1.4,0.6,3.3,0.52,0.0,0.551,0.731,LeBron James,0.48200000000000004,3
78,2016,OKC,PG,80.0,34.4,23.5,1.8,6.0,7.8,10.4,2.0,0.3,4.3,0.45399999999999996,0.0,0.489,0.812,Russell Westbrook,0.371,4
79,2016,OKC,SF,72.0,35.8,28.2,0.6,7.6,8.2,5.0,1.0,1.2,3.5,0.505,0.0,0.573,0.898,Kevin Durant,0.11199999999999999,5
80,2017,OKC,PG,81.0,34.6,31.6,1.7,9.0,10.7,10.4,1.6,0.4,5.4,0.425,0.0,0.47600000000000003,0.845,Russell Westbrook,0.879,1
81,2017,HOU,PG,81.0,36.4,29.1,1.2,7.0,8.1,11.2,1.5,0.5,5.7,0.44,0.0,0.525,0.847,James Harden,0.746,2
82,2017,SAS,SF,74.0,33.4,25.5,1.1,4.7,5.8,3.5,1.8,0.7,2.1,0.485,0.0,0.541,0.88,Kawhi Leonard,0.495,3
83,2017,CLE,SF,74.0,37.8,26.4,1.3,7.3,8.6,8.7,1.2,0.6,4.1,0.5479999999999999,0.0,0.594,0.674,LeBron James,0.33,4
84,2017,BOS,PG,76.0,33.8,28.9,0.6,2.1,2.7,5.9,0.9,0.2,2.8,0.46299999999999997,0.0,0.546,0.909,Isaiah Thomas,0.08,5
85,2018,HOU,SG,72.0,35.4,30.4,0.6,4.8,5.4,8.8,1.8,0.7,4.4,0.449,0.0,0.541,0.858,James Harden,0.955,1
86,2018,CLE,PF,82.0,36.9,27.5,1.2,7.5,8.6,9.1,1.4,0.9,4.2,0.542,0.0,0.59,0.731,LeBron James,0.731,2
87,2018,NOP,PF,75.0,36.4,28.1,2.5,8.6,11.1,2.3,1.5,2.6,2.2,0.534,0.0,0.552,0.828,Anthony Davis,0.441,3
88,2018,POR,PG,73.0,36.6,26.9,0.8,3.6,4.5,6.6,1.1,0.4,2.8,0.439,0.361,0.519,0.9159999999999999,Damian Lillard,0.205,4
89,2018,OKC,PG,80.0,36.4,25.4,1.9,8.2,10.1,10.3,1.8,0.3,4.8,0.449,0.0,0.47700000000000004,0.737,Russell Westbrook,0.075,5
90,2019,MIL,PF,72.0,32.8,27.7,2.2,10.3,12.5,5.9,1.3,1.5,3.7,0.578,0.256,0.599,0.7290000000000001,Giannis Antetokounmpo,0.932,1
91,2019,HOU,PG,78.0,36.8,36.1,0.8,5.8,6.6,7.5,2.0,0.7,5.0,0.442,0.0,0.541,0.879,James Harden,0.768,2
92,2019,OKC,SF,77.0,36.9,28.0,1.4,6.8,8.2,4.1,2.2,0.4,2.7,0.43799999999999994,0.0,0.529,0.8390000000000001,Paul George,0.35200000000000004,3
93,2019,DEN,C,80.0,31.3,20.1,2.9,8.0,10.8,7.3,1.4,0.7,3.1,0.511,0.307,0.545,0.821,Nikola Jokić,0.21,4
94,2019,GSW,PG,69.0,33.8,27.3,0.7,4.7,5.3,5.2,1.3,0.4,2.8,0.47200000000000003,0.43700000000000006,0.604,0.9159999999999999,Stephen Curry,0.17300000000000001,5
